,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
237,cap71,40,16,1.1578891277313232,932615.75,932555.1496084552,22,reached dual gap tolerance
238,cap71,40,18,1.1687648296356201,932615.75,932615.7500000001,24,reached subgradient tolerance and dual gap tolerance
239,cap71,40,20,1.1490917205810547,932615.75,932528.6571723116,23,reached dual gap tolerance
240,cap71,50,2,5.632227420806885,932615.75,921445.9512482435,201,max iterations
241,cap71,50,4,7.503983497619629,932615.75,930393.4309160936,201,max iterations
242,cap71,50,6,1.6185026168823242,932615.75,932528.4611288696,23,reached dual gap tolerance
243,cap71,50,8,1.4718716144561768,932615.75,932522.9451194038,15,reached dual gap tolerance
244,cap71,50,10,1.420461893081665,932615.75,932557.1392528693,18,reached dual gap tolerance
245,cap71,50,12,1.949214220046997,932615.75,932528.1499710261,24,reached dual gap tolerance
246,cap71,50,14,1.889620065689087,932615.75,932531.2643227094,23,reached dual gap tolerance
247,cap71,50,16,1.8949098587036133,932615.75,932555.1496084552,22,reached dual gap tolerance
248,cap71,50,18,1.9732675552368164,932615.75,932615.7500000001,24,reached subgradient tolerance and dual gap tolerance
249,cap71,50,20,1.9357943534851074,932615.75,932528.6571723116,23,reached dual gap tolerance
250,cap71,60,2,9.629541873931885,932615.75,921445.9512482435,201,max iterations
251,cap71,60,4,9.61676812171936,932615.75,930393.4309160936,201,max iterations
252,cap71,60,6,1.9158928394317627,932615.75,932528.4611288696,23,reached dual gap tolerance
253,cap71,60,8,1.272756814956665,932615.75,932522.9451194038,15,reached dual gap tolerance
254,cap71,60,10,1.6815850734710693,932615.75,932557.1392528693,18,reached dual gap tolerance
255,cap71,60,12,1.741645097732544,932615.75,932528.1499710261,24,reached dual gap tolerance
256,cap71,60,14,1.8289833068847656,932615.75,932531.2643227094,23,reached dual gap tolerance
257,cap71,60,16,1.8571743965148926,932615.75,932555.1496084552,22,reached dual gap tolerance
258,cap71,60,18,1.9509851932525635,932615.75,932615.7500000001,24,reached subgradient tolerance and dual gap tolerance
259,cap71,60,20,1.9701499938964844,932615.75,932528.6571723116,23,reached dual gap tolerance
260,cap71,70,2,10.081922769546509,932615.75,921445.9512482435,201,max iterations
261,cap71,70,4,10.011318683624268,932615.75,930393.4309160936,201,max iterations
262,cap71,70,6,1.9964263439178467,932615.75,932528.4611288696,23,reached dual gap tolerance
263,cap71,70,8,1.2443721294403076,932615.75,932522.9451194038,15,reached dual gap tolerance
264,cap71,70,10,1.6811232566833496,932615.75,932557.1392528693,18,reached dual gap tolerance
265,cap71,70,12,1.6977190971374512,932615.75,932528.1499710261,24,reached dual gap tolerance
266,cap71,70,14,1.8242576122283936,932615.75,932531.2643227094,23,reached dual gap tolerance
267,cap71,70,16,1.8623080253601074,932615.75,932555.1496084552,22,reached dual gap tolerance
268,cap71,70,18,1.992427110671997,932615.75,932615.7500000001,24,reached subgradient tolerance and dual gap tolerance
269,cap71,70,20,1.9595983028411865,932615.75,932528.6571723116,23,reached dual gap tolerance
270,cap71,80,2,9.896905899047852,932615.75,921445.9512482435,201,max iterations
