,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
192,cap62,100,6,10.058529376983643,977799.4,972974.8855395088,201,max iterations
193,cap62,100,8,9.66743516921997,977799.4,976468.1258047604,201,max iterations
194,cap62,100,10,3.1720240116119385,977799.4,977721.1237938041,36,reached dual gap tolerance
195,cap62,100,12,3.0138235092163086,977799.4,977490.6137822521,37,reached subgradient tolerance
196,cap62,100,14,3.2494070529937744,977799.4,977573.64672658,43,reached subgradient tolerance
197,cap62,100,16,2.8526432514190674,977799.4,977417.2203856023,32,reached subgradient tolerance
198,cap62,100,18,2.9094316959381104,977799.4,977564.1896411458,28,reached subgradient tolerance
199,cap62,100,20,3.0739023685455322,977799.4,977748.2724136482,36,reached dual gap tolerance
200,cap71,10,2,0.28258728981018066,0.0,0.0,0,unclear if the intergrality property holds
201,cap71,10,4,0.2735745906829834,0.0,0.0,0,unclear if the intergrality property holds
202,cap71,10,6,0.2655336856842041,0.0,0.0,0,unclear if the intergrality property holds
203,cap71,10,8,0.3055765628814697,0.0,0.0,0,unclear if the intergrality property holds
204,cap71,10,10,0.33638978004455566,0.0,0.0,0,unclear if the intergrality property holds
205,cap71,10,12,0.31158924102783203,0.0,0.0,0,unclear if the intergrality property holds
206,cap71,10,14,0.2713298797607422,0.0,0.0,0,unclear if the intergrality property holds
207,cap71,10,16,0.2788851261138916,0.0,0.0,0,unclear if the intergrality property holds
208,cap71,10,18,0.275193452835083,0.0,0.0,0,unclear if the intergrality property holds
209,cap71,10,20,0.2628059387207031,0.0,0.0,0,unclear if the intergrality property holds
210,cap71,20,2,0.4107544422149658,0.0,0.0,0,unclear if the intergrality property holds
211,cap71,20,4,0.41388916969299316,0.0,0.0,0,unclear if the intergrality property holds
212,cap71,20,6,0.43953728675842285,0.0,0.0,0,unclear if the intergrality property holds
213,cap71,20,8,0.42229270935058594,0.0,0.0,0,unclear if the intergrality property holds
214,cap71,20,10,0.4133286476135254,0.0,0.0,0,unclear if the intergrality property holds
215,cap71,20,12,0.42704033851623535,0.0,0.0,0,unclear if the intergrality property holds
